county,year,site_id,site_type,no_of_bees,sample_date
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Goderich,2015,24,Semi-natural remnant,0,06/04/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,17,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,10,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,12,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,2,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,2,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,2,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Ashfield-Colborne-Wawanosh,2015,24,Semi-natural remnant,0,07/15/2015
Kincardine,2015,25,Semi-natural remnant,1,06/17/2015
Kincardine,2015,25,Semi-natural remnant,9,06/17/2015
Kincardine,2015,25,Semi-natural remnant,1,06/17/2015
Kincardine,2015,25,Semi-natural remnant,1,06/17/2015
Kincardine,2015,25,Semi-natural remnant,6,06/17/2015
Kincardine,2015,25,Semi-natural remnant,5,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,1,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Kincardine,2015,25,Semi-natural remnant,0,06/17/2015
Huron-Kinloss,2015,25,Semi-natural remnant,3,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,8,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,2,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,1,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,1,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,1,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,1,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Huron-Kinloss,2015,25,Semi-natural remnant,0,07/21/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,2,07/17/2015
Wellington North,2015,26,Agricultural,1,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,1,07/17/2015
Wellington North,2015,26,Agricultural,2,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,07/17/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Wellington North,2015,26,Agricultural,0,10/01/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,1,06/11/2015
Hamilton,2015,27,Semi-natural remnant,7,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,1,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,1,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,06/11/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,24,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,4,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Hamilton,2015,27,Semi-natural remnant,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,1,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,5,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,0,06/19/2015
Enniskillen,2015,28,Agricultural,1,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,5,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,4,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,9,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Enniskillen,2015,28,Agricultural,0,08/19/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,9,07/29/2015
Windsor,2015,29,Semi-natural remnant,49,07/29/2015
Windsor,2015,29,Semi-natural remnant,1,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,29,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,2,05/28/2015
Windsor,2015,30,Semi-natural remnant,6,05/28/2015
Windsor,2015,30,Semi-natural remnant,3,05/28/2015
Windsor,2015,30,Semi-natural remnant,2,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,05/28/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,5,07/29/2015
Windsor,2015,30,Semi-natural remnant,17,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,2,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Windsor,2015,30,Semi-natural remnant,0,07/29/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,14,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
Guelph-Eramosa,2015,31,Agricultural,0,08/21/2015
North Middlesex,2015,32,Agricultural,3,06/16/2015
North Middlesex,2015,32,Agricultural,14,06/16/2015
North Middlesex,2015,32,Agricultural,9,06/16/2015
North Middlesex,2015,32,Agricultural,1,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,0,06/16/2015
North Middlesex,2015,32,Agricultural,6,07/20/2015
North Middlesex,2015,32,Agricultural,4,07/20/2015
North Middlesex,2015,32,Agricultural,13,07/20/2015
North Middlesex,2015,32,Agricultural,12,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,1,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
North Middlesex,2015,32,Agricultural,0,07/20/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,2,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,3,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,2,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,33,Agricultural,0,07/16/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,13,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lincoln,2015,34,Agricultural,0,09/23/2015
Lambton Shores,2015,35,Semi-natural remnant,4,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,11,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,4,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,3,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,07/20/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,8,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,5,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,1,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,06/16/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,7,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,30,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,9,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,3,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Lambton Shores,2015,35,Semi-natural remnant,0,08/21/2015
Central Elgin,2015,36,Agricultural,1,07/27/2015
Central Elgin,2015,36,Agricultural,9,07/27/2015
Central Elgin,2015,36,Agricultural,28,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,2,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,2,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Central Elgin,2015,36,Agricultural,0,07/27/2015
Chatham-Kent,2015,37,Agricultural,1,06/26/2015
Chatham-Kent,2015,37,Agricultural,11,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,1,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,0,06/26/2015
Chatham-Kent,2015,37,Agricultural,1,08/05/2015
Chatham-Kent,2015,37,Agricultural,2,08/05/2015
Chatham-Kent,2015,37,Agricultural,3,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,16,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,13,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Chatham-Kent,2015,37,Agricultural,0,08/05/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,2,06/04/2015
Kincardine,2015,38,Agricultural,1,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,2,06/04/2015
Kincardine,2015,38,Agricultural,4,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,1,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Kincardine,2015,38,Agricultural,0,06/04/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,14,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,1,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,5,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,06/26/2015
Chatham-Kent,2015,39,Semi-natural remnant,4,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,4,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,21,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Chatham-Kent,2015,39,Semi-natural remnant,0,08/05/2015
Hamilton,2015,40,Semi-natural remnant,2,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,2,07/10/2015
Hamilton,2015,40,Semi-natural remnant,1,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,4,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,3,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,07/10/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,15,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Hamilton,2015,40,Semi-natural remnant,0,09/23/2015
Central Wellington,2015,41,Agricultural,6,07/17/2015
Central Wellington,2015,41,Agricultural,2,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,1,07/17/2015
Central Wellington,2015,41,Agricultural,1,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,1,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,1,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,0,07/17/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,1,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
Central Wellington,2015,41,Agricultural,0,10/01/2015
West Lincoln,2015,42,Agricultural,2,07/16/2015
West Lincoln,2015,42,Agricultural,3,07/16/2015
West Lincoln,2015,42,Agricultural,8,07/16/2015
West Lincoln,2015,42,Agricultural,3,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,1,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,1,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,07/16/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,12,09/18/2015
West Lincoln,2015,42,Agricultural,1,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
West Lincoln,2015,42,Agricultural,0,09/18/2015
Malahide,2015,43,Agricultural,3,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,6,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,1,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,1,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,0,06/25/2015
Malahide,2015,43,Agricultural,1,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
Malahide,2015,43,Agricultural,16,08/17/2015
Malahide,2015,43,Agricultural,0,08/17/2015
