0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
County,MOECC Site Number,Lat,Long,Site Type,Sample date,Year,bimaculatus Queens,bimaculatus workers,bimaculatus males,bimaculatus total,griseocollis Queen,griseocollis worker,griseocollis male,griseocollis total,impatiens Queens,impatiens workers,impatiens males,impatiens total, fervidus Queens,fervidus workers,fervidus males,fervidus total,borealis Queens,borealis workers,borealis males,borealis total,rufocinctus Queens,rufocinctus workers,rufocinctus males,rufocinctus total,pensylvanicus Queens,pensylvanicus workers,pensylvanicus males,pensylvanicus total,vagans Queens,vagans workers,vagans males,vagans total,ternarius Queens,ternarius workers,ternarius males,ternarius total,perplexus Queens,perplexus workers,perplexus males,perplexus total,citrinus Queens,citrinus males,citrinus total,auricomus Queens,auricomus workers,auricomus males,auricomus total,terricola Queens,terricola workers,terricola males,terricola total,flavidus Queens,flavidus males,flavidus total,Flowers in bloom,Flowers Bees Collected on,,
Southwest Middlesex,14,42.74374,-81.69839,Agriculture,08/04/2015,2015,0,3,0,3,4,4,0,8,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cow vetch, Queen Anne's lace, chicory, white clover, yellow mustard, common teasel, bindweed ",undocumented,,
West Perth,15,43.45361,-81.41776,Agriculture,07/03/2015,2015,0,10,0,10,0,4,0,4,0,7,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cow vetch, milkweed, bindweed",cow vetch,,
West Perth,15,43.45361,-81.41776,Agriculture,08/12/2015,2015,0,0,1,1,0,1,0,1,0,14,9,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"spotted knapweed, Queen Anne's lace, chicory, goldenrod",spotted knapweed,,
Leamington,16,42.041518,-82.513652,Semi-natural remnant,05/28/2015,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Leamington,16,42.041518,-82.513652,Semi-natural remnant,07/17/2015,2015,1,4,0,5,1,42,0,43,0,7,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
East Zorra - Tavistock,17,43.185363,-80.7074,Agriculture,06/29/2015,2015,0,27,0,27,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"daisy, cow vetch, crown vetch red clover","red clover, crown vetch",,
East Zorra - Tavistock,17,43.185363,-80.7074,Agriculture,08/17/2015,2015,0,1,0,1,0,0,0,0,0,20,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Queen Anne's lace, thistle, teasel, goldenrod, cow vetch, chicory, red clover, sow thistle, yarrow, white sweet clover, black-eyed susans, New England aster","goldenrod, teasel",,
Dutton-Dunwich,18,42.604351,-81.43999,Semi-natural remnant,08/05/2015,2015,0,4,6,10,0,1,1,2,0,4,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,13,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Middlesex Centre,19,42.956126,-81.435137,,06/24/2015,2015,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Thames Centre,20,42.913807,-80.952353,Semi-natural remnant,06/25/2015,2015,0,3,0,3,0,14,0,14,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
